48,988,2,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,443,8,24,4866,511,494,284,37,506,2619,2134,2739,4,6122,0,0,0,0,0,0,0,0,0,0
47,237,5,5381,2272,7,47,237,231,650,5,1438,2,1,443,31,769,0,0,0,0,0,0,0,0
787,9102,1222,200,37,192,11,1,284,55,15,2843,7,2740,7238,14,2961,17,3896,2273,0,0,0,0,0
1,443,310,11,1402,7,12,499,20,121,36,45,489,726,11,1,145,2,169,742,399,0,0,0,0
10,12,13,626,6,1,443,12,259,410,11,1,173,2,169,742,399,16,3267,1,1402,7239,0,0,0
4,808,466,1,1491,2,1,443,12,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,206,547,53,2,548,45,3,1,169,742,399,30,466,1,30,18,1,313,6,10,12,43,571,9103
12,1599,14,1,656,666,557,281,1600,14,2844,132,358,2081,9104,7,3104,14,1,23,2,35,177,2081,9105
1,69,18,19,35,8,54,1,443,101,120,594,410,3,63,284,4,123,2,1,1462,3,63,1491,0
1,30,236,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,261,90,10,8,5,594,515,61,14,5,594,65,4,1,226,17,2026,2,41,380,521,18,14,112
53,5,594,515,8,5,515,2,336,17,200,61,4,1,216,261,56,108,24,1186,515,0,0,0,0
91,45,548,99,137,251,11,883,86,8,17,8,3,9,356,15,5,515,2,336,17,5,515,2,200
53,168,3,41,171,61,14,6,548,7,3,5383,532,44,1439,88,3,146,0,0,0,0,0,0,0
5,46,515,46,4,19,30,1404,80,1370,2,515,32,13,788,388,413,108,11,5,311,0,0,0,0
111,788,16,8,13,5,515,2,336,32,8,388,11,5,311,8,5,515,2,200,0,0,0,0,0
8,43,1659,4,19,39,6,40,1,443,101,120,5,515,11,5,311,10,8,56,108,5,515,2,200
1,30,38,127,56,172,16,809,20,1,341,2,24,443,0,0,0,0,0,0,0,0,0,0,0
4867,17,14,5,1864,443,17,1317,1,1127,2,16,37,4868,14,63,284,17,5,706,17,4491,2,63,284
25,2422,236,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,19,30,380,1404,41,180,4869,17,9106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,188,1440,3,1,3269,2,788,1520,4,19,30,1,314,37,1865,3,9,1,1271,18,2,5,380,0
5,1,171,14,5,1864,443,17,1317,11,5,3270,17,56,311,2,1,743,17,2741,453,3,63,284,0
789,55,368,15,1,438,2,1222,198,3,3686,1071,4491,11,558,145,7,910,3,4176,1,1127,2,1,443
645,2,1,1026,2,1,466,1491,2027,86,12,4,1,726,1491,0,0,0,0,0,0,0,0,0,0
32,42,37,2620,1967,1601,20,666,196,4,421,7,16,1,443,1778,37,13,83,402,32,2962,0,0,0
10,8,143,142,3,238,92,4,118,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,206,88,2,1,726,1491,236,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,145,11,16,1,443,8,483,37,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,284,2,1,443,597,36,16,42,137,9,1921,1,6123,2,1,284,15,4177,2082,506,2134,2619,2739
337,15,52,36,79,3,79,9,1865,2742,55,2621,7240,11,1,9110,2,1,284,46,380,15,52,9,316
240,3,7241,55,2963,6124,7,56,1169,15,52,36,79,3,79,9,2742,0,0,0,0,0,0,0,0
79,3,79,55,3687,7,1109,15,52,9,1865,3,9,4,1,484,2,1,284,4,472,20,64,73,6123
2,1,443,17,2,1,706,2,1,443,9,1865,2742,7,9111,11,1,884,2,1,380,484,2,1,284
1,1491,229,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,706,137,26,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,910,3,4176,1,1127,2,1,443,4,426,20,1,298,7,3897,717,0,0,0,0,0,0,0,0
7,3,6125,3,109,41,2,1,260,2,1,706,1602,107,2,7242,7,7243,7,259,6126,17,7244,3897,717
1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127,2,1,443,192,6,14,13,617,108,2274,856,96,1,1779,22,137,26,98,1,115,301,2526,4,1661
92,50,2028,4,1,466,1491,16,1170,1,314,857,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,145,11,16,1,443,8,483,37,1,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,507,14,1,284,2,55,2963,6124,7,56,1169,15,52,36,79,3,79,9,2742,0,0,0,0
541,7,55,56,200,336,7,743,15,52,9,198,14,1,284,395,32,13,3,1,1866,2,41,56,200
21,2843,7,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,1090,7,7247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,382,32,13,382,2,7248,2622,3,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,9112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3896,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,443,137,1028,89,63,1109,139,5,477,3105,259,313,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3271,790,7,158,2,1,443,137,9,310,1969,1731,1,1223,2,1,145,281,89,4,126,88,641,0
29,41,79,37,17,26,34,284,2,1,443,17,3,41,2,109,17,3,41,65,1441,787,41,2,109
